Account,ShareOfChargesLOC,ShareOfFXLOC
ABD133265,49.42,13.18
ABD136280,64.07,9.68
ABD132549,99.87,4.86
ABD132549,99.87,4.86
ABD130723,98.48,9.58
ABD130723,98.48,9.58
ABD131768,0,103.28
ABD134925,23.97,30.5
ABD132088,111.8,163.35
ABD132088,111.8,163.35
ABD134398,26.96,37.14
ABD134398,26.96,37.14
ABD132978,16.17,29.95
ABD132978,16.17,29.95
ABD131845,109.98,-9.58
ABD131845,109.98,-9.58
ABD132154,261.28,1525.05
ABD132154,261.28,1525.05
ABD130493,23.87,12.15
ABD131801,63.43,23.96
ABD131801,63.43,23.96
ABD131780,82.48,15.57
ABD131780,82.48,15.57
ABD135740,328.23,379.08
ABD135740,328.23,379.08
ABD134233,51.36,2.42
ABD131076,135.31,31.15
ABD131076,135.31,31.15
ABD131713,95.65,7.26
ABD136729,62.8,4.84
ABD136729,62.8,4.84
ABD136334,87.66,66
ABD133661,49.24,4.79
ABD133661,49.24,4.79
ABD133661,26.96,263.56
ABD133661,26.96,263.56
ABD130239,164.21,139.73
ABD136345,260.74,1503.49
ABD136345,260.74,1503.49
ABD130668,72.9,63.18
ABD130668,72.9,63.18
ABD133474,72.9,55.89
ABD133474,72.9,55.89
ABD130646,64.33,60.75
ABD132307,146.28,74.28
ABD132307,146.28,74.28
ABD134068,0,193.6
ABD130932,0,-226.27
ABD131032,72.6,47.19
ABD131032,72.6,47.19
ABD131559,35.58,16.77
ABD131559,35.58,16.77
ABD131120,73.2,253.76
ABD133528,27.23,2.42
ABD133528,27.23,2.42
ABD135926,83.31,15.73
ABD135926,83.31,15.73
ABD133979,26.96,212.05
ABD133979,26.96,212.05
ABD131779,123.45,11.98
ABD131779,123.45,11.98
ABD130251,75.03,7.32
ABD134420,26.96,35.94
ABD134420,26.96,35.94
ABD134332,23.78,47.19
ABD133913,0,12.15
ABD133913,26.96,29.95
ABD133913,26.96,29.95
ABD132978,268.8,133.1
ABD137324,0,38.72
ABD131625,111.26,-17.08
ABD130888,255.51,1204.07
ABD135058,145.2,43.56
ABD135058,145.2,43.56
ABD130822,23.89,24.32
ABD134529,88.39,47.19
ABD134529,88.39,47.19
ABD132714,91.13,89.91
ABD132714,91.13,89.91
ABD133386,63.43,35.94
ABD133386,63.43,35.94
ABD130602,252.36,95.16
ABD131669,16.17,32.35
